Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BG2,NO,15/01/2020 05:00,1.50000,ug m-3,R
BG2,NO,15/01/2020 06:00,2.00000,ug m-3,R
BG2,NO,15/01/2020 07:00,3.10000,ug m-3,R
BG2,NO,15/01/2020 08:00,3.50000,ug m-3,R
BG2,NO,15/01/2020 09:00,4.00000,ug m-3,R
BG2,NO,15/01/2020 10:00,4.50000,ug m-3,R
BG2,NO,15/01/2020 11:00,4.80000,ug m-3,R
BG2,NO,15/01/2020 12:00,5.50000,ug m-3,R
BG2,NO,15/01/2020 13:00,5.10000,ug m-3,R
BG2,NO,15/01/2020 14:00,5.10000,ug m-3,R
BG2,NO,15/01/2020 15:00,4.60000,ug m-3,R
BG2,NO,15/01/2020 16:00,5.20000,ug m-3,R
BG2,NO,15/01/2020 17:00,5.60000,ug m-3,R
BG2,NO,15/01/2020 18:00,5.70000,ug m-3,R
BG2,NO,15/01/2020 19:00,5.70000,ug m-3,R
BG2,NO,15/01/2020 20:00,5.70000,ug m-3,R
BG2,NO,15/01/2020 21:00,5.10000,ug m-3,R
BG2,NO,15/01/2020 22:00,4.60000,ug m-3,R
BG2,NO,15/01/2020 23:00,4.20000,ug m-3,R
BG2,NO,16/01/2020 00:00,3.50000,ug m-3,R
BG2,NO,16/01/2020 01:00,2.50000,ug m-3,R
BG2,NO,16/01/2020 02:00,2.00000,ug m-3,R
BG2,NO,16/01/2020 03:00,1.70000,ug m-3,R
BG2,NO,16/01/2020 04:00,1.10000,ug m-3,R
BG2,NO,16/01/2020 05:00,2.70000,ug m-3,R
BG2,NO,16/01/2020 06:00,3.30000,ug m-3,R
BG2,NO,16/01/2020 07:00,3.80000,ug m-3,R
BG2,NO,16/01/2020 08:00,4.20000,ug m-3,R
BG2,NO,16/01/2020 09:00,4.50000,ug m-3,R
BG2,NO,16/01/2020 10:00,4.90000,ug m-3,R
BG2,NO,16/01/2020 11:00,5.30000,ug m-3,R
BG2,NO,16/01/2020 12:00,5.70000,ug m-3,R
BG2,NO,16/01/2020 13:00,4.30000,ug m-3,R
BG2,NO,16/01/2020 14:00,4.20000,ug m-3,R
BG2,NO,16/01/2020 15:00,3.80000,ug m-3,R
BG2,NO,16/01/2020 16:00,3.20000,ug m-3,R
